,researcher,capture_site,fisher,species,ccl_cm,ccw_cm,weight_kg,year_caught,week_caught
0,25,0,1072,6,64.7,62.6,31.49,2000,51
1,6,0,520,6,35.85,31.35,4.851999999999999,2001,43
2,6,0,1669,5,51.8,49.2,16.776,2001,44
3,32,0,1798,6,60.5,59.0,29.613999999999997,2002,11
4,25,0,1918,5,34.7,33.0,5.3100000000000005,2002,32
5,25,0,1918,5,33.2,30.7,4.348000000000001,2002,32
6,25,0,2013,6,37.4,33.5,5.8,2002,43
7,25,0,1815,6,40.3,37.2,7.886,2002,43
8,30,0,1815,5,44.0,43.2,10.884,2002,43
9,32,0,1066,5,48.3,43.3,12.84,2003,24
10,25,0,1114,5,43.3,43.6,9.687999999999999,2003,33
11,32,0,2065,5,43.4,41.7,9.943999999999999,2003,36
12,30,0,2013,5,58.2,53.3,23.387999999999998,2003,39
13,30,0,2013,5,40.2,39.3,7.85,2003,39
14,30,0,2013,5,52.5,47.5,17.248,2003,39
15,30,0,2013,5,41.4,39.3,8.361999999999998,2003,39
16,10,0,838,5,37.0,36.1,6.068,2004,42
17,30,0,257,5,38.1,38.2,5.766,2008,4
18,30,0,2108,5,45.6,43.7,11.548,2009,2
19,30,0,325,5,43.4,40.0,10.463999999999999,2009,7
20,30,0,1424,6,24.7,24.5,1.7,2009,8
21,30,0,1938,6,31.0,28.9,3.54,2009,26
22,30,0,1045,5,41.2,39.5,8.841999999999999,2009,29
23,20,0,1413,5,51.9,48.4,17.375999999999998,2009,32
24,30,0,1244,5,38.8,36.7,6.94,2009,33
25,32,0,1564,6,34.0,32.0,5.362,2009,39
26,30,0,696,5,61.9,58.9,28.236,2010,16
27,20,0,959,6,34.4,33.9,5.5,2010,38
28,30,0,1705,5,39.5,39.6,6.5,2010,39
29,20,0,1035,5,33.0,32.8,4.5,2010,43
30,20,0,1274,5,38.9,38.2,7.5,2010,43
31,20,0,809,5,39.6,37.7,7.0,2010,44
32,20,0,1274,5,34.8,33.3,5.5,2010,46
33,20,0,2133,5,41.5,41.0,8.5,2011,24
34,20,0,513,5,93.4,89.1,70.0,2011,25
35,20,0,649,5,41.5,39.0,8.5,2011,33
36,20,0,296,5,36.7,35.6,6.5,2011,34
37,20,0,1550,4,79.1,73.0,58.58,2011,42
38,20,0,1550,6,45.0,41.3,11.0,2011,42
39,7,0,959,5,37.4,36.2,5.5,2012,2
40,20,0,1217,6,27.8,27.2,3.0,2012,17
41,20,0,1217,5,37.5,37.3,7.5,2012,19
42,7,0,1217,5,44.2,44.3,12.0,2012,23
43,20,0,1217,5,44.7,44.0,9.0,2012,25
44,20,0,1217,5,39.9,35.6,7.3,2012,39
45,20,0,1841,5,37.0,35.8,5.92,2014,22
46,20,0,1625,5,44.4,42.6,9.27,2014,24
47,20,0,2100,6,34.67,33.13,3.95,2014,30
48,20,0,1217,5,41.7,39.8,8.56,2014,35
49,20,0,1964,6,29.3,26.7,2.79,2014,37
50,20,0,1217,6,36.6,33.1,5.59,2014,45
51,20,0,2092,5,38.7,36.5,7.0,2014,50
52,30,0,1964,6,33.5,31.7,3.9,2014,52
53,30,0,1964,5,32.0,30.9,2.7,2014,52
54,30,0,2092,5,35.0,33.0,5.0,2015,2
55,30,0,85,5,44.0,41.0,8.2,2015,3
56,20,0,1108,5,58.9,55.6,27.2,2015,10
57,20,0,1964,5,46.2,43.0,11.13,2015,17
58,20,0,1964,5,46.7,44.8,12.53,2015,17
59,20,0,1964,5,40.4,37.3,7.8,2015,19
60,20,0,1964,6,32.8,30.3,3.67,2015,19
61,20,0,1964,5,42.5,40.4,9.21,2015,23
62,20,0,1964,5,40.5,39.1,8.57,2015,40
63,20,0,2092,5,35.4,35.2,5.62,2015,44
64,20,0,2092,5,39.0,39.0,7.56,2015,44
65,20,0,2092,5,32.0,30.3,3.77,2015,44
66,30,0,104,6,37.5,33.4,6.37,2015,46
67,30,0,104,5,39.0,37.5,8.18,2015,46
68,20,0,2092,5,34.0,32.0,4.71,2015,50
69,20,0,2092,5,35.3,33.9,5.58,2015,51
70,30,0,1964,5,31.5,29.6,3.84,2015,51
71,30,0,1700,5,32.8,31.0,4.44,2015,52
72,20,0,649,5,40.0,39.2,7.81,2016,7
73,20,0,1964,5,41.3,40.0,8.63,2016,12
74,20,0,1964,5,44.9,42.9,10.87,2016,12
75,20,0,44,5,97.4,93.2,93.6,2016,19
76,20,0,1964,5,42.4,40.3,8.14,2016,23
77,20,0,1964,5,45.2,45.0,11.12,2016,35
78,20,0,1964,5,47.0,43.2,11.11,2016,40
79,20,0,1964,5,37.6,36.4,6.75,2016,46
80,20,0,1964,5,46.5,45.9,14.16,2016,46
81,20,0,1964,5,32.2,29.3,3.53,2016,49
82,30,0,1964,5,32.2,32.2,4.13,2017,1
83,20,0,1964,5,43.6,39.4,10.12,2017,14
84,20,0,1964,5,42.0,39.0,9.21,2017,14
85,30,0,809,5,33.3,32.7,4.25,2018,2
86,20,0,809,5,29.2,26.03,2.68,2018,3
87,20,0,809,5,36.1,34.13,5.45,2018,5
88,20,0,809,5,31.83,28.33,3.44,2018,8
89,20,0,606,5,44.37,42.53,10.41,2018,25
90,30,0,236,5,69.0,65.0,25.35,2018,38
91,30,0,1618,6,4.4,4.1,0.1,2018,38
92,30,0,809,5,40.47,37.5,8.58,2018,41
93,20,0,1964,5,42.5,41.27,8.75,2018,50
94,20,0,606,5,31.2,29.87,4.84,2018,50
95,25,1,92,6,32.0,29.4,4.606,2001,23
96,25,1,710,6,32.5,30.5,4.2,2001,29
97,25,1,1115,6,35.4,33.0,5.012,2002,22
98,25,1,92,5,44.9,44.3,10.894,2002,25
99,25,1,1700,5,53.1,50.0,19.064,2002,50
100,10,1,1690,6,37.2,34.1,5.8100000000000005,2006,48
101,30,1,1879,6,52.3,46.3,16.438,2008,19
102,30,1,1879,6,44.8,42.5,11.344,2008,19
103,30,1,1469,5,66.2,62.3,34.0,2008,20
104,30,1,1666,5,75.9,70.5,46.62,2008,28
105,30,1,1666,5,59.6,55.4,23.806,2008,31
106,30,1,1666,5,60.8,56.1,26.568,2008,31
107,30,1,1666,5,61.1,56.8,26.266,2008,31
108,30,1,1666,5,46.2,43.8,12.07,2008,31
109,30,1,1550,5,74.2,65.6,46.169999999999995,2008,31
110,30,1,1757,5,61.2,58.5,30.04,2008,34
111,30,1,1757,5,64.5,60.0,26.910000000000004,2008,35
112,30,1,1757,5,63.8,57.6,32.019999999999996,2008,35
113,30,1,1757,5,75.3,72.8,52.260000000000005,2008,35
114,30,1,1757,5,68.8,61.7,36.495999999999995,2008,35
115,30,1,1757,5,49.0,44.0,13.435999999999998,2008,35
116,4,1,1550,5,43.09039028717153,40.253904075408926,9.850731051924445,2008,37
117,30,1,1550,5,64.0,61.2,30.227999999999998,2008,37
118,30,1,1550,5,48.3,45.3,14.176000000000002,2008,37
119,30,1,373,5,44.2,42.1,10.264,2008,37
120,30,1,1550,5,61.0,58.7,30.04,2008,37
121,30,1,1550,5,101.0,91.4,124.35999999999999,2008,38
122,30,1,1550,5,92.8,81.5,90.62,2008,38
123,4,1,1550,5,60.4,56.0,23.715999999999998,2008,39
124,4,1,1550,5,43.1,42.0,9.782,2008,39
125,30,1,1757,5,66.0,63.3,34.7,2008,41
126,30,1,1757,5,53.0,49.1,18.128,2008,41
127,30,1,1757,5,99.2,88.7,117.78999999999999,2008,41
128,30,1,1550,5,52.5,47.5,17.248,2008,43
129,30,1,1666,5,40.9,40.3,8.925999999999998,2008,43
130,30,1,1550,5,42.7,42.0,8.998000000000001,2008,43
131,30,1,1757,5,55.0,51.1,19.538,2008,43
132,25,1,1666,5,80.6,71.5,60.160000000000004,2008,44
